"","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver"
"20","ART_AND_DESIGN",4.6,224399,31,"10,000,000+","Free",0,"Everyone","Art & Design","July 30, 2018","5.5.4","4.1 and up"
"21","ART_AND_DESIGN",4,450,14,"100,000+","Free",0,"Everyone","Art & Design","April 20, 2018","4.0","4.1 and up"
"22","ART_AND_DESIGN",4.1,654,12,"100,000+","Free",0,"Everyone","Art & Design","March 20, 2018","1.1","4.0.3 and up"
"23","ART_AND_DESIGN",4.7,7699,4.2,"500,000+","Free",0,"Everyone 10+","Art & Design","July 12, 2018","2.2.6.2","4.0.3 and up"
"25","ART_AND_DESIGN",4.7,118,23,"50,000+","Free",0,"Everyone","Art & Design","July 7, 2018","1.1.3","4.1 and up"
"26","ART_AND_DESIGN",4.8,192,6,"10,000+","Free",0,"Everyone","Art & Design","April 25, 2018","1.5","3.0 and up"
"27","ART_AND_DESIGN",4.7,20260,25,"500,000+","Free",0,"Everyone","Art & Design;Creativity","October 11, 2017","1.0.8","4.0.3 and up"
"28","ART_AND_DESIGN",4.1,203,6.1,"100,000+","Free",0,"Everyone","Art & Design","March 21, 2018","1.03","4.0.3 and up"
"29","ART_AND_DESIGN",3.9,136,4.6,"10,000+","Free",0,"Everyone","Art & Design","July 12, 2018","6.0","2.3 and up"
"30","ART_AND_DESIGN",4.1,223,4.2,"100,000+","Free",0,"Everyone","Art & Design","August 22, 2017","1.0","2.3 and up"
"31","ART_AND_DESIGN",4.2,1120,9.2,"100,000+","Free",0,"Everyone","Art & Design","July 12, 2018","6.7.12.2018","4.0.3 and up"
"32","ART_AND_DESIGN",4.1,227,5.2,"50,000+","Free",0,"Everyone","Art & Design","May 31, 2018","1.2","2.3 and up"
"33","ART_AND_DESIGN",4.5,5035,11,"100,000+","Free",0,"Everyone","Art & Design","July 19, 2018","2.20","4.0 and up"
"34","ART_AND_DESIGN",4.2,1015,11,"100,000+","Free",0,"Everyone","Art & Design","January 6, 2018","1.1.0","4.1 and up"
"35","ART_AND_DESIGN",4.7,353,4.2,"10,000+","Free",0,"Teen","Art & Design","April 27, 2018","1.6","4.1 and up"
"36","ART_AND_DESIGN",3.8,564,9.2,"100,000+","Free",0,"Everyone","Art & Design","July 11, 2018","2.1","4.1 and up"
"37","ART_AND_DESIGN",4.7,8145,24,"500,000+","Free",0,"Everyone","Art & Design;Creativity","August 2, 2018","1.0.9","4.4 and up"
"39","ART_AND_DESIGN",4.7,158,11,"10,000+","Free",0,"Everyone","Art & Design","November 29, 2017","1.3","4.0.3 and up"
"40","ART_AND_DESIGN",4,591,9.4,"500,000+","Free",0,"Everyone","Art & Design","March 31, 2018","1","4.0 and up"
"41","ART_AND_DESIGN",4.2,117,15,"10,000+","Free",0,"Everyone","Art & Design","July 20, 2018","2.0.1","4.0.3 and up"
"42","ART_AND_DESIGN",4.5,176,10,"100,000+","Free",0,"Everyone","Art & Design","April 2, 2018","1.0","4.0.3 and up"
"44","ART_AND_DESIGN",3.8,2206,1.2,"100,000+","Free",0,"Everyone","Art & Design;Creativity","April 15, 2018","1.46","4.1 and up"
"45","ART_AND_DESIGN",4.2,26,12,"10,000+","Free",0,"Everyone","Art & Design","January 3, 2018","1.0.0","4.1 and up"
"46","ART_AND_DESIGN",4.7,174531,24,"10,000,000+","Free",0,"Everyone","Art & Design","July 31, 2018","1.6.1","4.1 and up"
"47","ART_AND_DESIGN",4.6,1070,26,"100,000+","Free",0,"Everyone","Art & Design","November 14, 2017","1.6","4.1 and up"
"48","ART_AND_DESIGN",4.2,85,8,"100,000+","Free",0,"Everyone","Art & Design","December 17, 2017","2.0.0","4.1 and up"
"49","ART_AND_DESIGN",4.3,845,7.9,"100,000+","Free",0,"Everyone","Art & Design","May 28, 2018","1.0","2.3 and up"
"50","AUTO_AND_VEHICLES",4.2,367,25,"100,000+","Free",0,"Everyone","Auto & Vehicles","May 10, 2018","1.0","4.0.3 and up"
"51","AUTO_AND_VEHICLES",4,1598,56,"1,000,000+","Free",0,"Everyone","Auto & Vehicles","July 26, 2018","11.0","4.1 and up"
"52","AUTO_AND_VEHICLES",3.8,284,57,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 26, 2018","3.0","4.1 and up"
"54","AUTO_AND_VEHICLES",3.9,129,35,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 26, 2018","3.0","4.1 and up"
"55","AUTO_AND_VEHICLES",4.3,542,33,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 31, 2018","4.0","4.1 and up"
"56","AUTO_AND_VEHICLES",4.9,10479,33,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 18, 2018","1.7.1","4.0 and up"
"57","AUTO_AND_VEHICLES",4.4,805,5.6,"50,000+","Free",0,"Everyone","Auto & Vehicles","July 29, 2018","2.5.1","4.4 and up"
"58","AUTO_AND_VEHICLES",4.2,129,54,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 26, 2018","3.0","4.1 and up"
"59","AUTO_AND_VEHICLES",4,1403,0.196,"100,000+","Free",0,"Everyone","Auto & Vehicles","August 26, 2014","1.0.1","2.2 and up"
"60","AUTO_AND_VEHICLES",3.9,3971,3.6,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 30, 2018","2.493","4.4 and up"
"61","AUTO_AND_VEHICLES",4.6,534,5.7,"10,000+","Free",0,"Everyone","Auto & Vehicles","July 8, 2018","1.9.1","4.0.3 and up"
"62","AUTO_AND_VEHICLES",4.9,7774,17,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 3, 2018","1.7","4.2 and up"
"63","AUTO_AND_VEHICLES",4.3,38846,8.6,"1,000,000+","Free",0,"Everyone","Auto & Vehicles","July 28, 2018","2.20 Build 02","4.1 and up"
"64","AUTO_AND_VEHICLES",4.6,2431,2.4,"100,000+","Free",0,"Everyone","Auto & Vehicles","June 12, 2018","1.37","4.0 and up"
"65","AUTO_AND_VEHICLES",4.9,6090,27,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 3, 2018","1.7","4.2 and up"
"66","AUTO_AND_VEHICLES",3.9,295,2.7,"10,000+","Free",0,"Everyone","Auto & Vehicles","July 30, 2018","0.2.1","4.4 and up"
"67","AUTO_AND_VEHICLES",4,190,2.5,"50,000+","Free",0,"Everyone","Auto & Vehicles","October 14, 2016","1.0","2.3 and up"
"70","AUTO_AND_VEHICLES",4.2,52530,7,"5,000,000+","Free",0,"Everyone","Auto & Vehicles","July 16, 2018","4.47.3","4.0.3 and up"
"71","AUTO_AND_VEHICLES",4.8,116986,35,"5,000,000+","Free",0,"Everyone","Auto & Vehicles","August 2, 2018","1.9.7","4.0.3 and up"
"72","AUTO_AND_VEHICLES",3.6,1379,16,"500,000+","Free",0,"Everyone","Auto & Vehicles","August 2, 2018","2.2.21","4.2 and up"
"73","AUTO_AND_VEHICLES",4.2,271920,16,"10,000,000+","Free",0,"Teen","Auto & Vehicles","July 11, 2018","Varies with device","5.0 and up"
"75","AUTO_AND_VEHICLES",4.8,7021,17,"500,000+","Free",0,"Everyone","Auto & Vehicles","July 27, 2018","1.79","4.0 and up"
"76","AUTO_AND_VEHICLES",4.6,197,3.4,"50,000+","Free",0,"Everyone","Auto & Vehicles","June 14, 2018","1.3","4.0 and up"
"77","AUTO_AND_VEHICLES",4.5,737,8.9,"100,000+","Free",0,"Everyone","Auto & Vehicles","June 8, 2018","2.3.5.1","4.1 and up"
"78","AUTO_AND_VEHICLES",4.3,3574,3.9,"1,000,000+","Free",0,"Everyone 10+","Auto & Vehicles","July 4, 2018","1.6","4.0 and up"
"79","AUTO_AND_VEHICLES",4.5,994,2.9,"100,000+","Free",0,"Everyone","Auto & Vehicles","March 27, 2018","1.6","4.1 and up"
"80","AUTO_AND_VEHICLES",4.9,197136,38,"1,000,000+","Free",0,"Everyone","Auto & Vehicles","July 15, 2018","8.31","4.1 and up"
"81","AUTO_AND_VEHICLES",3.9,142,32,"50,000+","Free",0,"Everyone","Auto & Vehicles","July 24, 2018","1.1.5.0","6.0 and up"
"82","AUTO_AND_VEHICLES",4.4,15168,37,"1,000,000+","Free",0,"Everyone","Auto & Vehicles","July 27, 2018","10.0.2","4.2 and up"
"83","AUTO_AND_VEHICLES",4,2155,15,"500,000+","Free",0,"Everyone","Auto & Vehicles","July 30, 2018","1.10.3","5.0 and up"
"84","AUTO_AND_VEHICLES",4.3,138,5.4,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 23, 2018","1.0","4.0.3 and up"
"85","AUTO_AND_VEHICLES",3.7,5414,18,"1,000,000+","Free",0,"Everyone","Auto & Vehicles","July 23, 2018","3.20.1","4.4 and up"
"87","AUTO_AND_VEHICLES",4.3,348,38,"100,000+","Free",0,"Everyone","Auto & Vehicles","July 29, 2018","1.0.3","2.3 and up"
"88","AUTO_AND_VEHICLES",3.2,250,1.1,"100,000+","Free",0,"Everyone","Auto & Vehicles","April 27, 2018","1.4","4.0.3 and up"
"91","AUTO_AND_VEHICLES",4.5,3617,7.9,"100,000+","Free",0,"Everyone","Auto & Vehicles","May 16, 2018","2.8.2","4.1 and up"
"92","AUTO_AND_VEHICLES",3.7,4806,35,"1,000,000+","Free",0,"Everyone","Auto & Vehicles","July 31, 2018","4.0.3","4.0.3 and up"
"94","AUTO_AND_VEHICLES",4.6,31433,17,"1,000,000+","Free",0,"Everyone","Auto & Vehicles","August 2, 2018","1.40","4.0.3 and up"
"95","AUTO_AND_VEHICLES",4.6,5097,19,"1,000,000+","Free",0,"Everyone","Auto & Vehicles","July 23, 2018","1.5.18","4.0.3 and up"
"96","AUTO_AND_VEHICLES",4,1754,14,"500,000+","Free",0,"Everyone","Auto & Vehicles","June 2, 2018","2.3.4","4.0 and up"
"97","AUTO_AND_VEHICLES",4.4,2680,2.2,"500,000+","Free",0,"Everyone","Auto & Vehicles","March 20, 2018","1.03","4.0.3 and up"
"98","AUTO_AND_VEHICLES",4,1288,4.5,"100,000+","Free",0,"Everyone","Auto & Vehicles","April 21, 2018","2.17","4.0 and up"
"99","BEAUTY",4.7,18900,17,"500,000+","Free",0,"Everyone","Beauty","August 2, 2018","6.10.1","5.0 and up"
"100","BEAUTY",4.9,49790,14,"1,000,000+","Free",0,"Everyone","Beauty","November 9, 2017","2.3.0","4.1 and up"
"101","BEAUTY",4.7,1150,9.8,"100,000+","Free",0,"Everyone","Beauty","May 15, 2018","4.0","4.1 and up"
"102","BEAUTY",3.9,1739,21,"500,000+","Free",0,"Everyone","Beauty","July 12, 2018","1.0.6","4.0.3 and up"
"104","BEAUTY",4.2,2225,52,"500,000+","Free",0,"Everyone","Beauty","February 28, 2018","1.6","4.1 and up"
"105","BEAUTY",4.6,4369,14,"100,000+","Free",0,"Everyone","Beauty","July 25, 2018","1.9","4.0.3 and up"
"106","BEAUTY",4.3,8572,25,"1,000,000+","Free",0,"Everyone","Beauty","May 10, 2018","1.1.0","4.0 and up"
"107","BEAUTY",4.7,964,9,"50,000+","Free",0,"Everyone","Beauty","June 21, 2018","4.0","4.2 and up"
"109","BEAUTY",4.8,104,12,"10,000+","Free",0,"Everyone","Beauty","June 26, 2018","1.3","4.0.3 and up"
"111","BEAUTY",4.3,601,35,"100,000+","Free",0,"Everyone","Beauty","June 2, 2018","2.0.0","4.0 and up"
"112","BEAUTY",4.5,36,6.7,"10,000+","Free",0,"Everyone","Beauty","July 26, 2018","6.0","4.0 and up"
"113","BEAUTY",4.1,187,30,"50,000+","Free",0,"Teen","Beauty","July 24, 2018","3.0.1","4.0.3 and up"
"115","BEAUTY",4.2,30,2.9,"10,000+","Free",0,"Everyone","Beauty","April 9, 2018","3.3.9","4.0.3 and up"
"116","BEAUTY",4.5,134,17,"10,000+","Free",0,"Everyone","Beauty","March 1, 2018","1.20","4.0.3 and up"
"117","BEAUTY",4.4,74,2.9,"10,000+","Free",0,"Everyone","Beauty","April 5, 2018","2.3.09","4.0.3 and up"
"120","BEAUTY",4.1,9315,2.6,"1,000,000+","Free",0,"Everyone","Beauty","November 21, 2017","1.4.2","4.0 and up"
"121","BEAUTY",4.4,75,4.2,"50,000+","Free",0,"Everyone","Beauty","October 18, 2017","1.0.0","4.0.3 and up"
"122","BEAUTY",4.6,38,7.1,"10,000+","Free",0,"Everyone","Beauty","May 29, 2018","1.0","4.0 and up"
"123","BEAUTY",4.5,26834,57,"1,000,000+","Free",0,"Everyone","Beauty","July 24, 2018","18.5","5.0 and up"
"125","BEAUTY",3.9,2277,22,"500,000+","Free",0,"Everyone","Beauty","July 12, 2018","1.1.0","4.0.3 and up"
"126","BEAUTY",4.4,2280,24,"500,000+","Free",0,"Everyone","Beauty","May 14, 2018","1.1.0","4.0 and up"
"128","BEAUTY",4.6,184,21,"10,000+","Free",0,"Everyone","Beauty","July 2, 2018","1.5","4.1 and up"
"129","BEAUTY",3.8,9,3.4,"5,000+","Free",0,"Everyone","Beauty","June 7, 2018","1.0","4.0 and up"
"132","BEAUTY",4,364,6.4,"100,000+","Free",0,"Everyone","Beauty","May 24, 2018","1.1","4.0.3 and up"
"133","BEAUTY",4.3,18,3.2,"5,000+","Free",0,"Everyone","Beauty","June 1, 2018","1.2.13","4.0.3 and up"
"134","BEAUTY",4.5,473,8.2,"100,000+","Free",0,"Mature 17+","Beauty","March 1, 2017","1.0.2.0","1.6 and up"
"136","BEAUTY",4.1,66,2.9,"10,000+","Free",0,"Everyone","Beauty","April 5, 2018","3.1.89","4.0.3 and up"
"137","BEAUTY",3.7,3871,23,"1,000,000+","Free",0,"Everyone","Beauty","July 30, 2018","2.2.0","4.0 and up"
"138","BEAUTY",4.7,257,4.6,"50,000+","Free",0,"Everyone","Beauty","August 7, 2017","1.0","4.0.3 and up"
"139","BEAUTY",4.2,62,3.1,"10,000+","Free",0,"Everyone","Beauty","May 28, 2018","1.9.2","4.0.3 and up"
"141","BOOKS_AND_REFERENCE",4.5,1857,4.9,"50,000+","Free",0,"Everyone","Books & Reference","August 3, 2018","1.3.2","4.4 and up"
"142","BOOKS_AND_REFERENCE",4.6,4478,9.5,"100,000+","Free",0,"Everyone 10+","Books & Reference","July 31, 2017","1.1","4.0 and up"
"148","BOOKS_AND_REFERENCE",4.5,418,4.2,"100,000+","Free",0,"Everyone","Books & Reference","March 27, 2018","2.1","4.1 and up"
"149","BOOKS_AND_REFERENCE",4.4,22486,5.4,"1,000,000+","Free",0,"Teen","Books & Reference","June 6, 2018","3.2.1","4.0 and up"
"151","BOOKS_AND_REFERENCE",4.6,1435,2.8,"500,000+","Free",0,"Everyone","Books & Reference","January 21, 2018","1.0","4.0 and up"
"152","BOOKS_AND_REFERENCE",4.8,116507,5,"1,000,000+","Free",0,"Teen","Books & Reference","August 1, 2018","2.0.075","4.0.3 and up"
"154","BOOKS_AND_REFERENCE",4.6,90468,5.9,"5,000,000+","Free",0,"Everyone","Books & Reference","May 27, 2018","1.911805270","2.3 and up"
"155","BOOKS_AND_REFERENCE",4.2,860,13,"100,000+","Free",0,"Everyone","Books & Reference","July 17, 2018","1.0","4.0.3 and up"
"156","BOOKS_AND_REFERENCE",4.1,363934,7.1,"10,000,000+","Free",0,"Everyone","Books & Reference","July 11, 2018","9.1.363","4.1 and up"
"157","BOOKS_AND_REFERENCE",4.7,967,6.7,"500,000+","Free",0,"Everyone","Books & Reference","August 4, 2018","1.1.6","4.0.3 and up"
"159","BOOKS_AND_REFERENCE",4.3,17506,17,"1,000,000+","Free",0,"Everyone","Books & Reference","July 20, 2018","2.3.18","4.1 and up"
"160","BOOKS_AND_REFERENCE",3.3,1862,19,"1,000,000+","Free",0,"Everyone","Books & Reference","April 27, 2018","2.2.5","4.1 and up"
"161","BOOKS_AND_REFERENCE",4.6,2084,6.7,"500,000+","Free",0,"Everyone","Books & Reference","May 17, 2018","15.0","2.3 and up"
"162","BOOKS_AND_REFERENCE",4.8,47303,21,"1,000,000+","Free",0,"Everyone","Books & Reference","June 2, 2018","18.05.31+530","4.1 and up"
"165","BOOKS_AND_REFERENCE",4.1,85842,37,"5,000,000+","Free",0,"Everyone","Books & Reference","June 25, 2018","5.0.6","4.0 and up"
"166","BOOKS_AND_REFERENCE",4.6,7831,15,"100,000+","Free",0,"Teen","Books & Reference","July 4, 2018","1.2.3","4.0 and up"
"167","BOOKS_AND_REFERENCE",4.1,91615,23,"5,000,000+","Free",0,"Mature 17+","Books & Reference","June 29, 2018","3.12","4.1 and up"
"168","BOOKS_AND_REFERENCE",4.6,4620,19,"500,000+","Free",0,"Everyone","Books & Reference","November 23, 2017","2.0","4.0.3 and up"
"169","BOOKS_AND_REFERENCE",4.7,21336,23,"1,000,000+","Free",0,"Everyone","Books & Reference","June 20, 2018","1.28","3.0 and up"
"170","BOOKS_AND_REFERENCE",4.5,26875,73,"500,000+","Free",0,"Everyone","Books & Reference","August 1, 2018","6.0.8","4.0.3 and up"
"171","BOOKS_AND_REFERENCE",3.9,1778,4.9,"500,000+","Free",0,"Mature 17+","Books & Reference","October 16, 2014","1.0.3","2.1 and up"
"172","BOOKS_AND_REFERENCE",4.4,2709,6.8,"1,000,000+","Free",0,"Everyone","Books & Reference","July 11, 2018","1.9","4.4 and up"
"175","BOOKS_AND_REFERENCE",4.5,527,2.9,"100,000+","Free",0,"Everyone","Books & Reference","March 31, 2018","14.0","4.0 and up"
"176","BOOKS_AND_REFERENCE",4.4,1322,3.5,"100,000+","Free",0,"Everyone","Books & Reference","May 28, 2018","6.0","4.0.3 and up"
"177","BOOKS_AND_REFERENCE",3.4,1680,4,"100,000+","Free",0,"Everyone","Books & Reference","August 20, 2016","3.05","4.0.3 and up"
"178","BOOKS_AND_REFERENCE",4.9,2739,21,"50,000+","Free",0,"Everyone","Books & Reference","July 17, 2018","2.0","3.0 and up"
"179","BOOKS_AND_REFERENCE",4.6,1065,2.3,"500,000+","Free",0,"Everyone","Books & Reference","June 16, 2018","1.5","3.0 and up"
"182","BOOKS_AND_REFERENCE",4.4,8788,10,"1,000,000+","Free",0,"Everyone","Books & Reference","July 28, 2018","2.5.3","4.0 and up"
"183","BOOKS_AND_REFERENCE",4.4,51269,6.1,"1,000,000+","Free",0,"Everyone","Books & Reference","July 19, 2018","7.0.4.6","4.2 and up"
"184","BOOKS_AND_REFERENCE",4.4,30105,2.1,"1,000,000+","Free",0,"Everyone","Books & Reference","July 29, 2018","1.15","4.0.3 and up"
"185","BOOKS_AND_REFERENCE",3.5,156,42,"500,000+","Free",0,"Everyone","Books & Reference","February 15, 2018","3.1.7.9","2.2 and up"
"187","BOOKS_AND_REFERENCE",4.4,341157,30,"10,000,000+","Free",0,"Everyone 10+","Books & Reference","March 20, 2018","3.9.1","4.2 and up"
"191","BUSINESS",4.3,85185,29,"5,000,000+","Free",0,"Everyone","Business","July 17, 2018","3.4.2","5.0 and up"
"195","BUSINESS",4.3,1002861,35,"100,000,000+","Free",0,"Everyone","Business","August 2, 2018","9.7.14188","4.1 and up"
"196","BUSINESS",3.9,16589,9.1,"1,000,000+","Free",0,"Everyone","Business","June 14, 2018","4.9.10","4.0.3 and up"
"197","BUSINESS",4.8,148945,25,"1,000,000+","Free",0,"Everyone","Business","July 19, 2018","5.2.8","5.0 and up"
"198","BUSINESS",4.5,4458,3.9,"500,000+","Free",0,"Everyone","Business","July 8, 2018","3.3","4.1 and up"
"199","BUSINESS",4.4,62272,18,"10,000,000+","Free",0,"Everyone","Business","June 26, 2018","3.550.2","4.1 and up"
"200","BUSINESS",4,8941,12,"5,000,000+","Free",0,"Everyone","Business","July 31, 2018","4.6.30","4.0.3 and up"
"201","BUSINESS",4.3,46353,21,"1,000,000+","Free",0,"Everyone","Business","April 13, 2016","2.8","1.5 and up"
"206","BUSINESS",4.2,30847,55,"5,000,000+","Free",0,"Everyone","Business","February 8, 2018","7.3.21","4.1 and up"
"207","BUSINESS",4.6,188841,3.2,"5,000,000+","Free",0,"Everyone","Business","June 21, 2018","1.1.13","4.0 and up"
"210","BUSINESS",3.1,4034,0.022,"100,000+","Free",0,"Everyone","Business","September 11, 2015","3.0.1.11 (Build 311)","2.2 and up"
"211","BUSINESS",3.9,45964,16,"1,000,000+","Free",0,"Everyone","Business","July 18, 2018","5.1.5","4.1 and up"
"213","BUSINESS",4.1,6903,14,"1,000,000+","Free",0,"Everyone","Business","July 10, 2018","2.3.6","4.1 and up"
"214","BUSINESS",4.4,31614,37,"10,000,000+","Free",0,"Everyone","Business","July 20, 2018","4.1.28165.0716","4.0 and up"
"217","BUSINESS",4.5,207372,11,"5,000,000+","Free",0,"Everyone","Business","August 2, 2018","12.2.4","4.0 and up"
"218","BUSINESS",4.4,1225,25,"100,000+","Free",0,"Everyone","Business","August 1, 2018","1.0.6.8","4.1 and up"
"219","BUSINESS",4.4,380837,7.3,"10,000,000+","Free",0,"Everyone","Business","July 4, 2018","3.4.5","4.2 and up"
"220","BUSINESS",4.3,10600,6.5,"1,000,000+","Free",0,"Everyone","Business","August 1, 2018","2.5.6","4.0 and up"
"221","BUSINESS",4.4,74359,25,"1,000,000+","Free",0,"Everyone","Business","July 27, 2018","1.12.5","4.0 and up"
"222","BUSINESS",4.6,822,3.1,"100,000+","Free",0,"Everyone","Business","June 8, 2018","1.5","4.0.3 and up"
"224","BUSINESS",4.4,2287,1.5,"1,000,000+","Free",0,"Everyone","Business","March 26, 2018","4.9","2.2 and up"
"225","BUSINESS",4.7,4162,7.5,"100,000+","Free",0,"Everyone","Business","July 24, 2018","0.9.4","4.0.3 and up"
"226","BUSINESS",3.8,14760,8.6,"50,000,000+","Free",0,"Everyone","Business","January 31, 2018","1.1.07.6","7.0 and up"
"232","BUSINESS",4.7,286897,39,"10,000,000+","Free",0,"Everyone","Business","May 30, 2017","1.2.6","3.0 and up"
"233","BUSINESS",4.5,103755,14,"10,000,000+","Free",0,"Everyone","Business","July 11, 2018","3.9.2","4.1 and up"
"234","BUSINESS",4.2,46505,19,"1,000,000+","Free",0,"Everyone","Business","August 2, 2018","3.4.49","4.1 and up"
"235","BUSINESS",4.7,11442,6.8,"100,000+","Paid",4.99,"Everyone","Business","March 25, 2018","1.5.2","4.0 and up"
"236","BUSINESS",4.8,10295,39,"100,000+","Paid",4.99,"Everyone","Business","April 11, 2017","3.4.6","3.0 and up"
"238","BUSINESS",4.2,296,14,"50,000+","Free",0,"Everyone","Business","June 15, 2018","3.2.1","4.1 and up"
"239","BUSINESS",4.3,29313,20,"5,000,000+","Free",0,"Everyone","Business","July 30, 2018","1.12.0","4.0.3 and up"
"242","BUSINESS",4.1,1802,26,"100,000+","Free",0,"Everyone","Business","April 18, 2018","1.7.14","4.2 and up"
"243","BUSINESS",3.8,1383,51,"100,000+","Free",0,"Everyone","Business","July 12, 2018","3.24.1","5.0 and up"
"244","BUSINESS",4.3,23175,41,"1,000,000+","Free",0,"Everyone","Business","July 13, 2018","18.7","4.1 and up"
"245","BUSINESS",3.8,5868,20,"500,000+","Free",0,"Everyone","Business","July 3, 2018","3.19.005","4.1 and up"
"247","BUSINESS",4.1,5448,12,"500,000+","Free",0,"Everyone","Business","July 25, 2018","4.9.1","5.0 and up"
"248","BUSINESS",4.6,4159,48,"500,000+","Free",0,"Everyone","Business","July 20, 2018","6.1.2","4.0.3 and up"
"249","BUSINESS",4.3,20815,10,"1,000,000+","Free",0,"Everyone","Business","July 26, 2018","6.4.4","5.0 and up"
"250","BUSINESS",4.5,78662,22,"1,000,000+","Free",0,"Everyone","Business","February 13, 2018","3.7.5","4.4 and up"
"251","BUSINESS",4.1,7149,11,"1,000,000+","Free",0,"Everyone","Business","July 31, 2018","2.6.158","4.0 and up"
"252","BUSINESS",4.5,3079,8.5,"100,000+","Free",0,"Everyone","Business","August 2, 2018","5.20.7","4.1 and up"
"253","BUSINESS",4.6,5800,8.6,"100,000+","Free",0,"Everyone","Business","August 2, 2018","5.20.7","4.1 and up"
"255","BUSINESS",4.2,16422,28,"1,000,000+","Free",0,"Everyone","Business","August 1, 2018","10.46.2","4.1 and up"
"256","BUSINESS",4.4,108741,28,"10,000,000+","Free",0,"Everyone","Business","July 20, 2018","11.1.0","4.3 and up"
"257","BUSINESS",4.4,31614,37,"10,000,000+","Free",0,"Everyone","Business","July 20, 2018","4.1.28165.0716","4.0 and up"
"258","BUSINESS",4,624,9,"100,000+","Free",0,"Everyone","Business","March 22, 2018","1.2.287","5.0 and up"
"259","BUSINESS",4.2,1661,46,"100,000+","Free",0,"Everyone","Business","August 2, 2018","3.0.4651","4.4 and up"
"261","BUSINESS",4.1,308,14,"50,000+","Free",0,"Everyone","Business","May 29, 2018","3.1.4.0","4.0.3 and up"
"263","BUSINESS",3.8,5211,26,"1,000,000+","Free",0,"Everyone","Business","July 30, 2018","3.3.0","4.0 and up"
"264","BUSINESS",3.9,1058,23,"500,000+","Free",0,"Everyone","Business","June 29, 2018","2.22.397","5.0 and up"
"267","BUSINESS",4.2,296,14,"50,000+","Free",0,"Everyone","Business","June 15, 2018","3.2.1","4.1 and up"
